location,description,created,target,type,to_package,association,images,comments,documents,priority,cause,project,task_group,days_to_target,month,weekday,season,has_parent_task,location_depth,description_length,task_category,overdue_label
1328 - Townsend St,Designated access routes in place along Moss St Elevation and site compound. To be extended throughout site to provide safe access for all subcontractors.,2019-05-17,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,False,Unknown,Unknown,Unknown,JPC - Safety - Access,1328,Safety,,5,4,spring,0,1,154,Safety,0
1328 - Townsend St,"Accident Report 24.06.19 - Rascor - Operative suffered injury to right wrist while drilling membrane to concrete in Block 3 & 4, Attenuation Tank, Basement Level. Full Report issued 26.06.19.",2019-06-26,,Safety Notice (Red) - Serious Issue,Waterproofing,FormAnswer,False,Unknown,Unknown,High,JPC - Safety - Management,1328,Safety,,6,2,summer,0,1,191,Safety,0
1328 - Townsend St,Housekeeping required in some areas on site such as crane base of TC2.,2019-06-26,,Safety Notice (Amber) - General Issue,Carpentry,FormAnswer,False,Unknown,Unknown,Behavioural Failure,JPC - Safety - House Keeping,1328,Safety,,6,2,summer,0,1,70,Safety,0
1328 - Townsend St,"Some positive and negative observations noted on site this week regarding material storage on site. Some areas require attention, but good use of barriers and signage noted by some subcontractors also.",2019-06-26,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,False,Unknown,Unknown,Behavioural Failure,JPC - Safety - House Keeping,1328,Safety,,6,2,summer,0,1,201,Safety,0
1328 - Townsend St,Good examples of high standards in documentation by subcontractors on site this week. GA1s submitted for new plant delivered to site and JPC sticker issued and Scaffold tags up to date and inspected.,2019-06-26,,Safety Notice (Green) - Good Observation,Concrete - Formwork,FormAnswer,False,Unknown,Unknown,Unknown,JPC - Safety - Documentation,1328,Safety,,6,2,summer,0,1,199,Safety,0
1328 - Townsend St,Very high compliance with PPE noted on site by all subcontractors this week. This was rewarded with multiple winners at this week's toolbox talk for our site reward scheme.,2019-06-26,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,False,Unknown,Unknown,Unknown,JPC - Safety - PPE,1328,Safety,,6,2,summer,0,1,172,Safety,0
1328 - Townsend St,Additional drip trays ordered this week also as extra generators on site.,2019-06-26,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,False,Unknown,Unknown,Behavioural Failure,JPC - Safety - Plant & Equipment,1328,Safety,,6,2,summer,0,1,73,Safety,0
1328 - Townsend St,"Both positive and negative examples of housekeeping observed on site this week. Overall the site is in good condition, with particularly good set down area for RAPS, however some areas where housekeeping requires attention.",2019-06-26,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,False,Unknown,Unknown,Behavioural Failure,JPC - Safety - House Keeping,1328,Safety,,6,2,summer,0,1,223,Safety,0
JPC Project Management>EHS Forms>01 Inspections,Plastic to concrete skip for wash out,2019-07-10,,Safety Notice (Amber) - General Issue,Unknown,FormAnswer,False,Unknown,Unknown,Behavioural Failure,JPC - Safety - Environmental,1330,Safety,,7,2,summer,0,3,37,Safety,0
JPC Project Management>EHS Forms>01 Inspections,Blue 40ft container to be cleared out prior to scheduled relocation. reduce weight as per lift plan,2019-07-10,,Safety Notice (Amber) - General Issue,Unknown,FormAnswer,False,Unknown,Unknown,Behavioural Failure,JPC - Safety - House Keeping,1330,Safety,,7,2,summer,0,3,99,Safety,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,"Beam on GL 5
In one area at GL E end of the beam, there is one bar which is touching the side of the shutter. Contractor to adjust the bar to achieve minimum cover",2019-07-22,2019-07-28,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,7,0,summer,0,4,163,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,"Beam on GL 6
Starter bars for the column on GL D are grouped together, which will be a problem for the column pour. Bar positions to be adjusted to achieve correct set-out.",2019-07-22,2019-07-28,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,7,0,summer,0,4,172,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,"General Inspection
Column at basement level on GL 7 has been poured without chamfered edges. Sharp edges will need to be removed.",2019-07-22,2019-07-28,BCAR - Structural,Unknown,FormAnswer,True,False,Unknown,Unknown,Unknown,1328,Design Team,6.0,7,0,summer,0,4,129,Design Team,0
QC & BC(A)R>ITP 03 External Works>02 Drainage>01 Storm water,"As verbally agreed previously, Coni-bar is being used at some junctions between walls. Contractor to submit details of the Coni-bar which is being used as a technical submittal for approval.",2019-07-22,2019-07-28,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,7,0,summer,0,4,190,Design Team,0
QC & BC(A)R>ITP 03 External Works>02 Drainage>01 Storm water,It was noted that there is a bulge inwards in the section of the concrete wall which is already poured (along the west side of the attenuation tank). Contractor to remove a section of the waterproofing and determine if the bulge has removed the cover to the reinforcement in the wall.,2019-07-22,2019-07-28,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,7,0,summer,0,4,284,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,Ground-beam on GL D,2019-07-22,2019-07-28,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,7,0,summer,0,4,19,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block 1 & 2>Foundations,No cover on reinforcement pedestal located on GL A-7 south facing.  Pedestal to be broken our and re-poured.,2019-07-31,2019-08-04,Quality - Defect (compliance),Concrete,FormAnswer,True,True,True,High,JPC - Quality - Workmanship,1330,Quality,4.0,7,2,summer,0,4,108,Quality,0
Quality Control & BC(A)R>ITP 01 Structural>Block 1 & 2>Foundations,"Jacobs concrete specification- point 3.14 to 3.17 explains the important of concrete placement, the finish of the concrete surface and the curing of the concrete.
This process is clearly not happening onsite at present and immediate action needs to be taken.
Ensure specification is implemented regarding finishing and curing and ensure the correct materials and tools are available.",2019-07-31,2019-08-04,Quality - Defect (compliance),Concrete,Unknown,True,True,Unknown,High,JPC - Quality - Workmanship,1330,Quality,4.0,7,2,summer,0,4,383,Quality,0
1328 - Townsend St,Material and housekeeping creating hazards in area 02 access routes,2019-07-31,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,False,Unknown,Unknown,Unknown,JPC - Safety - House Keeping,1328,Safety,,7,2,summer,0,1,67,Safety,0
1328 - Townsend St,RAPs slings skatterd round site. sling to be removed from working areas and disposed of once removed from rebar,2019-07-31,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,False,Unknown,Unknown,Unknown,JPC - Safety - Plant & Equipment,1328,Safety,,7,2,summer,0,1,111,Safety,0
1328 - Townsend St,Step overs immediate placed over cables and sprayed when cabins were moved.,2019-07-31,,Safety Notice (Green) - Good Observation,Unknown,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Access,1328,Safety,,7,2,summer,0,1,75,Safety,0
1328 - Townsend St,Daily safe start standards not high enough. this was spoke about at the morning whiteboard meeting. Machales supervisor to review with labour,2019-07-31,,Safety Notice (Amber) - General Issue,Groundworks,FormAnswer,False,Unknown,Unknown,Unknown,JPC - Safety - Documentation,1328,Safety,,7,2,summer,0,1,141,Safety,0
1328 - Townsend St,Raps are keeping mushroom caps over protruding rebar and are taking cognizance and protective action to fall hazards to lift pits.,2019-07-31,,Safety Notice (Green) - Good Observation,Unknown,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Slips / Trips / Falls,1328,Safety,,7,2,summer,0,1,130,Safety,0
